id,sender,subject,email_text,label
38829,healthcare38829@mail.com,Meeting Reminder,Your medical report is ready for review.,Ham
18527,shoppingoffers18527@company.org,Reward Waiting,Exclusive discount available on premium products today.,Spam
28667,finance28667@support.io,Meeting Reminder,Payment confirmation has been successfully received.,Ham
47945,office47945@inbox.net,Course Information,Please review the project update before tomorrow's meeting.,Ham
31190,finance31190@company.org,Support Update,Payment confirmation has been successfully received.,Ham
23836,fakejobs23836@mail.com,Exclusive Offer,Work remotely and earn a high monthly income with no experience.,Spam
17116,phishing17116@service.co,Exclusive Offer,A security review requires immediate confirmation of your identity.,Spam
13257,fakejobs13257@inbox.net,Reward Waiting,Immediate hiring for online positions with attractive salaries.,Spam
1869,fakejobs1869@support.io,Claim Prize,Work remotely and earn a high monthly income with no experience.,Spam
30921,healthcare30921@company.org,Project Update,Please follow the instructions shared by your healthcare provider.,Ham
9882,bankingscam9882@service.co,Exclusive Offer,Your bank account requires urgent verification to avoid suspension.,Spam
18535,bankingscam18535@mail.com,Exclusive Offer,Your bank account requires urgent verification to avoid suspension.,Spam
10164,fakejobs10164@service.co,Limited Time Deal,Immediate hiring for online positions with attractive salaries.,Spam
11111,phishing11111@inbox.net,Investment Opportunity,Verify your login information to maintain account access.,Spam
4921,lottery4921@service.co,Claim Prize,Your lucky ticket has been chosen for a cash reward.,Spam
6481,bankingscam6481@service.co,Urgent Verification,Security alert detected. Confirm your banking information immediately.,Spam
6212,lottery6212@company.org,Reward Waiting,You have won a grand prize. Complete the claim process now.,Spam
25107,personal25107@support.io,Project Update,Hope you are doing well and having a great week.,Ham
18690,lottery18690@mail.com,Limited Time Deal,You have won a grand prize. Complete the claim process now.,Spam
44351,finance44351@mail.com,Project Update,Your monthly account statement is now available.,Ham
44111,personal44111@company.org,Appointment Reminder,Thank you for your support and assistance.,Ham
41022,office41022@inbox.net,Meeting Reminder,Please review the project update before tomorrow's meeting.,Ham
48700,support48700@mail.com,Meeting Reminder,Thank you for contacting customer support.,Ham
9286,shoppingoffers9286@service.co,Limited Time Deal,Claim your free gift with every purchase while stocks last.,Spam
47252,personal47252@company.org,Course Information,Thank you for your support and assistance.,Ham
36833,healthcare36833@inbox.net,Support Update,Your medical report is ready for review.,Ham
11595,lottery11595@mail.com,Claim Prize,Your lucky ticket has been chosen for a cash reward.,Spam
49169,education49169@service.co,Support Update,The course materials have been uploaded to the portal.,Ham
30415,healthcare30415@inbox.net,Support Update,Please follow the instructions shared by your healthcare provider.,Ham
43412,support43412@service.co,Appointment Reminder,Thank you for contacting customer support.,Ham
2302,shoppingoffers2302@support.io,Limited Time Deal,Claim your free gift with every purchase while stocks last.,Spam
38460,support38460@service.co,Invoice Notice,We have resolved the issue reported in your request.,Ham
19197,lottery19197@company.org,Win Cash,You have won a grand prize. Complete the claim process now.,Spam
8244,fakejobs8244@inbox.net,Investment Opportunity,Work remotely and earn a high monthly income with no experience.,Spam
4542,fakejobs4542@mail.com,Investment Opportunity,Work remotely and earn a high monthly income with no experience.,Spam
44063,finance44063@company.org,Project Update,Please review the attached invoice for processing.,Ham
22840,cryptoscam22840@mail.com,Investment Opportunity,Limited crypto investment slots available today.,Spam
7669,cryptoscam7669@support.io,Investment Opportunity,Double your investment with this exclusive crypto opportunity.,Spam
25322,office25322@support.io,Appointment Reminder,Please review the project update before tomorrow's meeting.,Ham
48703,healthcare48703@company.org,Support Update,Please follow the instructions shared by your healthcare provider.,Ham
42292,healthcare42292@company.org,Meeting Reminder,Your medical report is ready for review.,Ham
34772,office34772@company.org,Course Information,Kindly provide your feedback on the latest proposal.,Ham
20730,phishing20730@company.org,Investment Opportunity,A security review requires immediate confirmation of your identity.,Spam
48677,finance48677@company.org,Support Update,Payment confirmation has been successfully received.,Ham
47630,healthcare47630@mail.com,Course Information,Please follow the instructions shared by your healthcare provider.,Ham
20605,bankingscam20605@inbox.net,Claim Prize,Unusual activity found on your account. Verify your details.,Spam
16625,phishing16625@mail.com,Exclusive Offer,Your email account password is expiring. Update credentials now.,Spam
10746,fakejobs10746@inbox.net,Investment Opportunity,Start your dream job from home and get paid weekly.,Spam
18271,fakejobs18271@company.org,Win Cash,Work remotely and earn a high monthly income with no experience.,Spam
24515,lottery24515@service.co,Investment Opportunity,Congratulations! You have been selected as a lottery winner. Claim your prize today.,Spam
19625,phishing19625@service.co,Investment Opportunity,Your email account password is expiring. Update credentials now.,Spam
48637,office48637@mail.com,Invoice Notice,The team meeting agenda has been shared for discussion.,Ham
10142,shoppingoffers10142@service.co,Limited Time Deal,Claim your free gift with every purchase while stocks last.,Spam
38771,personal38771@mail.com,Invoice Notice,Thank you for your support and assistance.,Ham
21310,cryptoscam21310@inbox.net,Urgent Verification,Join our crypto platform and start earning guaranteed returns.,Spam
48263,finance48263@support.io,Support Update,Payment confirmation has been successfully received.,Ham
23023,bankingscam23023@support.io,Investment Opportunity,Unusual activity found on your account. Verify your details.,Spam
30577,personal30577@company.org,Course Information,Hope you are doing well and having a great week.,Ham
37288,healthcare37288@inbox.net,Support Update,Reminder for your upcoming health checkup appointment.,Ham
24392,fakejobs24392@company.org,Claim Prize,Work remotely and earn a high monthly income with no experience.,Spam
4641,cryptoscam4641@mail.com,Urgent Verification,Join our crypto platform and start earning guaranteed returns.,Spam
1486,lottery1486@company.org,Investment Opportunity,You have won a grand prize. Complete the claim process now.,Spam
34183,finance34183@inbox.net,Appointment Reminder,Please review the attached invoice for processing.,Ham
20234,cryptoscam20234@support.io,Win Cash,Join our crypto platform and start earning guaranteed returns.,Spam
31661,support31661@service.co,Course Information,We have resolved the issue reported in your request.,Ham
41892,office41892@support.io,Invoice Notice,The team meeting agenda has been shared for discussion.,Ham
31102,support31102@mail.com,Course Information,Thank you for contacting customer support.,Ham
25206,education25206@support.io,Invoice Notice,Your assignment submission deadline is approaching.,Ham
8817,fakejobs8817@support.io,Investment Opportunity,Work remotely and earn a high monthly income with no experience.,Spam
40976,support40976@company.org,Invoice Notice,We have resolved the issue reported in your request.,Ham
34073,healthcare34073@support.io,Support Update,Your medical report is ready for review.,Ham
46492,finance46492@support.io,Course Information,Your monthly account statement is now available.,Ham
40627,healthcare40627@support.io,Appointment Reminder,Your medical report is ready for review.,Ham
11925,shoppingoffers11925@support.io,Limited Time Deal,Huge seasonal sale with limited-time rewards.,Spam
41086,healthcare41086@support.io,Course Information,Your medical report is ready for review.,Ham
17215,fakejobs17215@company.org,Urgent Verification,Immediate hiring for online positions with attractive salaries.,Spam
8752,fakejobs8752@inbox.net,Claim Prize,Immediate hiring for online positions with attractive salaries.,Spam
38372,education38372@inbox.net,Meeting Reminder,The course materials have been uploaded to the portal.,Ham
36204,personal36204@inbox.net,Appointment Reminder,Hope you are doing well and having a great week.,Ham
40092,education40092@mail.com,Course Information,The course materials have been uploaded to the portal.,Ham
40892,healthcare40892@mail.com,Project Update,Your medical report is ready for review.,Ham
44532,education44532@mail.com,Project Update,Your assignment submission deadline is approaching.,Ham
17851,lottery17851@support.io,Claim Prize,Congratulations! You have been selected as a lottery winner. Claim your prize today.,Spam
31272,office31272@service.co,Support Update,Please review the project update before tomorrow's meeting.,Ham
39250,office39250@mail.com,Invoice Notice,The team meeting agenda has been shared for discussion.,Ham
26707,finance26707@mail.com,Invoice Notice,Please review the attached invoice for processing.,Ham
8352,phishing8352@service.co,Win Cash,Verify your login information to maintain account access.,Spam
40267,finance40267@company.org,Support Update,Payment confirmation has been successfully received.,Ham
20577,shoppingoffers20577@mail.com,Exclusive Offer,Exclusive discount available on premium products today.,Spam
28509,support28509@service.co,Appointment Reminder,Your support ticket has been updated by our team.,Ham
49400,office49400@inbox.net,Project Update,Please review the project update before tomorrow's meeting.,Ham
11581,phishing11581@mail.com,Exclusive Offer,Verify your login information to maintain account access.,Spam
24184,cryptoscam24184@support.io,Claim Prize,Limited crypto investment slots available today.,Spam
15798,shoppingoffers15798@mail.com,Win Cash,Huge seasonal sale with limited-time rewards.,Spam
38764,finance38764@service.co,Project Update,Your monthly account statement is now available.,Ham
19469,shoppingoffers19469@mail.com,Urgent Verification,Huge seasonal sale with limited-time rewards.,Spam
19559,cryptoscam19559@company.org,Reward Waiting,Join our crypto platform and start earning guaranteed returns.,Spam
42969,personal42969@support.io,Project Update,Looking forward to catching up with you soon.,Ham
37620,personal37620@service.co,Appointment Reminder,Hope you are doing well and having a great week.,Ham
6132,phishing6132@support.io,Investment Opportunity,A security review requires immediate confirmation of your identity.,Spam
23747,cryptoscam23747@mail.com,Limited Time Deal,Double your investment with this exclusive crypto opportunity.,Spam
8524,bankingscam8524@support.io,Urgent Verification,Your bank account requires urgent verification to avoid suspension.,Spam
1386,lottery1386@mail.com,Win Cash,Your lucky ticket has been chosen for a cash reward.,Spam
18483,lottery18483@company.org,Reward Waiting,Your lucky ticket has been chosen for a cash reward.,Spam
16806,shoppingoffers16806@service.co,Investment Opportunity,Claim your free gift with every purchase while stocks last.,Spam
42696,education42696@company.org,Appointment Reminder,The course materials have been uploaded to the portal.,Ham
21606,phishing21606@service.co,Exclusive Offer,A security review requires immediate confirmation of your identity.,Spam
12730,fakejobs12730@company.org,Win Cash,Immediate hiring for online positions with attractive salaries.,Spam
968,shoppingoffers968@mail.com,Win Cash,Huge seasonal sale with limited-time rewards.,Spam
20902,fakejobs20902@service.co,Win Cash,Start your dream job from home and get paid weekly.,Spam
15440,cryptoscam15440@mail.com,Win Cash,Limited crypto investment slots available today.,Spam
43324,finance43324@service.co,Meeting Reminder,Please review the attached invoice for processing.,Ham
45131,finance45131@company.org,Course Information,Payment confirmation has been successfully received.,Ham
6281,shoppingoffers6281@mail.com,Win Cash,Claim your free gift with every purchase while stocks last.,Spam
11613,shoppingoffers11613@company.org,Reward Waiting,Exclusive discount available on premium products today.,Spam
7850,bankingscam7850@inbox.net,Reward Waiting,Your bank account requires urgent verification to avoid suspension.,Spam
25178,healthcare25178@company.org,Course Information,Your medical report is ready for review.,Ham
31944,education31944@inbox.net,Course Information,Your assignment submission deadline is approaching.,Ham
8495,phishing8495@service.co,Win Cash,Your email account password is expiring. Update credentials now.,Spam
28780,finance28780@mail.com,Meeting Reminder,Payment confirmation has been successfully received.,Ham
46521,healthcare46521@mail.com,Meeting Reminder,Please follow the instructions shared by your healthcare provider.,Ham
3917,shoppingoffers3917@mail.com,Limited Time Deal,Claim your free gift with every purchase while stocks last.,Spam
39100,office39100@company.org,Project Update,The team meeting agenda has been shared for discussion.,Ham
14162,cryptoscam14162@support.io,Urgent Verification,Join our crypto platform and start earning guaranteed returns.,Spam
38724,support38724@support.io,Project Update,Your support ticket has been updated by our team.,Ham
19433,shoppingoffers19433@inbox.net,Reward Waiting,Exclusive discount available on premium products today.,Spam
18954,bankingscam18954@support.io,Limited Time Deal,Security alert detected. Confirm your banking information immediately.,Spam
41980,finance41980@support.io,Meeting Reminder,Your monthly account statement is now available.,Ham
31990,support31990@service.co,Meeting Reminder,We have resolved the issue reported in your request.,Ham
39182,personal39182@support.io,Project Update,Hope you are doing well and having a great week.,Ham
10929,phishing10929@company.org,Claim Prize,Verify your login information to maintain account access.,Spam
17595,fakejobs17595@service.co,Exclusive Offer,Start your dream job from home and get paid weekly.,Spam
17376,fakejobs17376@company.org,Limited Time Deal,Immediate hiring for online positions with attractive salaries.,Spam
3593,cryptoscam3593@service.co,Investment Opportunity,Join our crypto platform and start earning guaranteed returns.,Spam
9879,lottery9879@inbox.net,Win Cash,Congratulations! You have been selected as a lottery winner. Claim your prize today.,Spam
21710,phishing21710@inbox.net,Win Cash,Your email account password is expiring. Update credentials now.,Spam
37067,office37067@mail.com,Support Update,Kindly provide your feedback on the latest proposal.,Ham
44185,education44185@support.io,Course Information,Please attend the scheduled academic session.,Ham
40746,personal40746@mail.com,Course Information,Hope you are doing well and having a great week.,Ham
5481,cryptoscam5481@company.org,Reward Waiting,Double your investment with this exclusive crypto opportunity.,Spam
41634,personal41634@inbox.net,Support Update,Thank you for your support and assistance.,Ham
31637,healthcare31637@company.org,Invoice Notice,Please follow the instructions shared by your healthcare provider.,Ham
48530,support48530@mail.com,Project Update,Thank you for contacting customer support.,Ham
2134,fakejobs2134@support.io,Claim Prize,Immediate hiring for online positions with attractive salaries.,Spam
43843,education43843@inbox.net,Support Update,The course materials have been uploaded to the portal.,Ham
43813,finance43813@mail.com,Project Update,Your monthly account statement is now available.,Ham
5461,bankingscam5461@mail.com,Win Cash,Unusual activity found on your account. Verify your details.,Spam
6457,phishing6457@inbox.net,Claim Prize,Your email account password is expiring. Update credentials now.,Spam
36732,office36732@mail.com,Invoice Notice,Kindly provide your feedback on the latest proposal.,Ham
9036,lottery9036@company.org,Exclusive Offer,Your lucky ticket has been chosen for a cash reward.,Spam
12482,shoppingoffers12482@support.io,Urgent Verification,Exclusive discount available on premium products today.,Spam
39401,healthcare39401@company.org,Course Information,Reminder for your upcoming health checkup appointment.,Ham
18541,shoppingoffers18541@company.org,Urgent Verification,Claim your free gift with every purchase while stocks last.,Spam
31923,healthcare31923@company.org,Course Information,Your medical report is ready for review.,Ham
6301,phishing6301@company.org,Reward Waiting,A security review requires immediate confirmation of your identity.,Spam
42980,office42980@mail.com,Appointment Reminder,Kindly provide your feedback on the latest proposal.,Ham
1258,fakejobs1258@service.co,Win Cash,Start your dream job from home and get paid weekly.,Spam
37069,support37069@inbox.net,Project Update,We have resolved the issue reported in your request.,Ham
7403,cryptoscam7403@company.org,Win Cash,Join our crypto platform and start earning guaranteed returns.,Spam
46963,healthcare46963@inbox.net,Meeting Reminder,Please follow the instructions shared by your healthcare provider.,Ham
29321,office29321@support.io,Support Update,Please review the project update before tomorrow's meeting.,Ham
40866,education40866@company.org,Appointment Reminder,Please attend the scheduled academic session.,Ham
19695,bankingscam19695@inbox.net,Exclusive Offer,Security alert detected. Confirm your banking information immediately.,Spam
12450,lottery12450@service.co,Investment Opportunity,You have won a grand prize. Complete the claim process now.,Spam
23120,cryptoscam23120@support.io,Claim Prize,Join our crypto platform and start earning guaranteed returns.,Spam
11706,fakejobs11706@service.co,Exclusive Offer,Work remotely and earn a high monthly income with no experience.,Spam
12761,phishing12761@support.io,Urgent Verification,Your email account password is expiring. Update credentials now.,Spam
43636,personal43636@support.io,Meeting Reminder,Looking forward to catching up with you soon.,Ham
25354,personal25354@support.io,Support Update,Looking forward to catching up with you soon.,Ham
24615,cryptoscam24615@company.org,Exclusive Offer,Limited crypto investment slots available today.,Spam
26791,support26791@service.co,Support Update,Your support ticket has been updated by our team.,Ham
20290,phishing20290@company.org,Exclusive Offer,A security review requires immediate confirmation of your identity.,Spam
794,cryptoscam794@company.org,Exclusive Offer,Join our crypto platform and start earning guaranteed returns.,Spam
37950,support37950@company.org,Meeting Reminder,Your support ticket has been updated by our team.,Ham
18445,shoppingoffers18445@company.org,Limited Time Deal,Exclusive discount available on premium products today.,Spam
13281,bankingscam13281@service.co,Claim Prize,Your bank account requires urgent verification to avoid suspension.,Spam
29969,office29969@company.org,Invoice Notice,The team meeting agenda has been shared for discussion.,Ham
22933,fakejobs22933@service.co,Limited Time Deal,Immediate hiring for online positions with attractive salaries.,Spam
28125,support28125@inbox.net,Support Update,Thank you for contacting customer support.,Ham
2894,lottery2894@service.co,Investment Opportunity,Congratulations! You have been selected as a lottery winner. Claim your prize today.,Spam
49024,support49024@mail.com,Meeting Reminder,We have resolved the issue reported in your request.,Ham
17112,phishing17112@mail.com,Reward Waiting,Your email account password is expiring. Update credentials now.,Spam
16833,phishing16833@service.co,Investment Opportunity,Your email account password is expiring. Update credentials now.,Spam
37141,support37141@service.co,Appointment Reminder,Thank you for contacting customer support.,Ham
20640,cryptoscam20640@service.co,Urgent Verification,Double your investment with this exclusive crypto opportunity.,Spam
23546,phishing23546@service.co,Win Cash,Your email account password is expiring. Update credentials now.,Spam
4651,shoppingoffers4651@support.io,Exclusive Offer,Claim your free gift with every purchase while stocks last.,Spam
46093,personal46093@service.co,Course Information,Hope you are doing well and having a great week.,Ham
46476,personal46476@mail.com,Support Update,Looking forward to catching up with you soon.,Ham
45159,personal45159@inbox.net,Invoice Notice,Looking forward to catching up with you soon.,Ham
19652,shoppingoffers19652@mail.com,Urgent Verification,Claim your free gift with every purchase while stocks last.,Spam
21978,bankingscam21978@service.co,Win Cash,Unusual activity found on your account. Verify your details.,Spam
32883,personal32883@support.io,Appointment Reminder,Hope you are doing well and having a great week.,Ham
35048,support35048@support.io,Appointment Reminder,We have resolved the issue reported in your request.,Ham
22593,lottery22593@mail.com,Reward Waiting,You have won a grand prize. Complete the claim process now.,Spam
21138,lottery21138@support.io,Reward Waiting,Your lucky ticket has been chosen for a cash reward.,Spam
42404,healthcare42404@mail.com,Meeting Reminder,Please follow the instructions shared by your healthcare provider.,Ham
4688,bankingscam4688@company.org,Exclusive Offer,Unusual activity found on your account. Verify your details.,Spam
45373,office45373@service.co,Support Update,Please review the project update before tomorrow's meeting.,Ham
46455,education46455@company.org,Meeting Reminder,Your assignment submission deadline is approaching.,Ham
39004,office39004@inbox.net,Project Update,The team meeting agenda has been shared for discussion.,Ham
34258,office34258@mail.com,Support Update,Please review the project update before tomorrow's meeting.,Ham
24567,cryptoscam24567@company.org,Exclusive Offer,Limited crypto investment slots available today.,Spam
23964,fakejobs23964@support.io,Claim Prize,Start your dream job from home and get paid weekly.,Spam
18830,phishing18830@mail.com,Reward Waiting,A security review requires immediate confirmation of your identity.,Spam
30720,finance30720@support.io,Support Update,Please review the attached invoice for processing.,Ham
24175,lottery24175@service.co,Claim Prize,Your lucky ticket has been chosen for a cash reward.,Spam
5985,phishing5985@mail.com,Exclusive Offer,Verify your login information to maintain account access.,Spam
18625,phishing18625@service.co,Claim Prize,Verify your login information to maintain account access.,Spam
32955,support32955@company.org,Appointment Reminder,Your support ticket has been updated by our team.,Ham
34553,healthcare34553@mail.com,Project Update,Please follow the instructions shared by your healthcare provider.,Ham
33651,personal33651@support.io,Meeting Reminder,Looking forward to catching up with you soon.,Ham
22376,phishing22376@support.io,Reward Waiting,Verify your login information to maintain account access.,Spam
23124,cryptoscam23124@support.io,Claim Prize,Join our crypto platform and start earning guaranteed returns.,Spam
19486,phishing19486@service.co,Investment Opportunity,A security review requires immediate confirmation of your identity.,Spam
45526,personal45526@support.io,Support Update,Looking forward to catching up with you soon.,Ham
38995,education38995@mail.com,Course Information,Your assignment submission deadline is approaching.,Ham
32592,healthcare32592@inbox.net,Invoice Notice,Please follow the instructions shared by your healthcare provider.,Ham
11114,fakejobs11114@service.co,Urgent Verification,Work remotely and earn a high monthly income with no experience.,Spam
46985,personal46985@service.co,Support Update,Thank you for your support and assistance.,Ham
4266,phishing4266@mail.com,Limited Time Deal,Your email account password is expiring. Update credentials now.,Spam
43484,healthcare43484@service.co,Course Information,Reminder for your upcoming health checkup appointment.,Ham
7060,cryptoscam7060@company.org,Claim Prize,Limited crypto investment slots available today.,Spam
29,bankingscam29@support.io,Reward Waiting,Security alert detected. Confirm your banking information immediately.,Spam
4354,lottery4354@service.co,Limited Time Deal,Your lucky ticket has been chosen for a cash reward.,Spam
18015,phishing18015@mail.com,Reward Waiting,Verify your login information to maintain account access.,Spam
38114,office38114@company.org,Invoice Notice,The team meeting agenda has been shared for discussion.,Ham
34302,office34302@mail.com,Meeting Reminder,The team meeting agenda has been shared for discussion.,Ham
44347,education44347@service.co,Appointment Reminder,Please attend the scheduled academic session.,Ham
7653,fakejobs7653@inbox.net,Urgent Verification,Work remotely and earn a high monthly income with no experience.,Spam
15917,bankingscam15917@inbox.net,Urgent Verification,Unusual activity found on your account. Verify your details.,Spam
9786,bankingscam9786@inbox.net,Reward Waiting,Unusual activity found on your account. Verify your details.,Spam
36719,office36719@company.org,Course Information,Kindly provide your feedback on the latest proposal.,Ham
12332,lottery12332@company.org,Reward Waiting,Congratulations! You have been selected as a lottery winner. Claim your prize today.,Spam
42723,finance42723@support.io,Invoice Notice,Your monthly account statement is now available.,Ham
26194,finance26194@support.io,Meeting Reminder,Please review the attached invoice for processing.,Ham
48233,finance48233@company.org,Invoice Notice,Payment confirmation has been successfully received.,Ham
20581,cryptoscam20581@company.org,Reward Waiting,Join our crypto platform and start earning guaranteed returns.,Spam
1331,shoppingoffers1331@inbox.net,Reward Waiting,Huge seasonal sale with limited-time rewards.,Spam
11282,lottery11282@company.org,Exclusive Offer,You have won a grand prize. Complete the claim process now.,Spam
15921,fakejobs15921@service.co,Investment Opportunity,Work remotely and earn a high monthly income with no experience.,Spam
19337,bankingscam19337@company.org,Investment Opportunity,Security alert detected. Confirm your banking information immediately.,Spam
19979,shoppingoffers19979@company.org,Reward Waiting,Claim your free gift with every purchase while stocks last.,Spam
39269,support39269@service.co,Meeting Reminder,Your support ticket has been updated by our team.,Ham
2703,fakejobs2703@inbox.net,Reward Waiting,Start your dream job from home and get paid weekly.,Spam
44282,personal44282@support.io,Invoice Notice,Hope you are doing well and having a great week.,Ham
9091,shoppingoffers9091@inbox.net,Claim Prize,Claim your free gift with every purchase while stocks last.,Spam
14921,bankingscam14921@company.org,Limited Time Deal,Your bank account requires urgent verification to avoid suspension.,Spam
7803,shoppingoffers7803@service.co,Urgent Verification,Claim your free gift with every purchase while stocks last.,Spam
45759,finance45759@inbox.net,Project Update,Your monthly account statement is now available.,Ham
42084,healthcare42084@service.co,Invoice Notice,Your medical report is ready for review.,Ham
37230,education37230@service.co,Course Information,Please attend the scheduled academic session.,Ham
44334,healthcare44334@service.co,Meeting Reminder,Please follow the instructions shared by your healthcare provider.,Ham
38104,personal38104@inbox.net,Project Update,Thank you for your support and assistance.,Ham
35988,personal35988@company.org,Meeting Reminder,Hope you are doing well and having a great week.,Ham
32864,education32864@service.co,Meeting Reminder,Please attend the scheduled academic session.,Ham
49767,support49767@service.co,Project Update,Thank you for contacting customer support.,Ham
3055,shoppingoffers3055@service.co,Exclusive Offer,Exclusive discount available on premium products today.,Spam
19601,shoppingoffers19601@service.co,Urgent Verification,Huge seasonal sale with limited-time rewards.,Spam
27580,office27580@inbox.net,Support Update,Please review the project update before tomorrow's meeting.,Ham
15691,lottery15691@support.io,Claim Prize,Your lucky ticket has been chosen for a cash reward.,Spam
40710,support40710@mail.com,Support Update,Your support ticket has been updated by our team.,Ham
23728,phishing23728@service.co,Claim Prize,A security review requires immediate confirmation of your identity.,Spam
48772,support48772@mail.com,Course Information,Thank you for contacting customer support.,Ham
887,shoppingoffers887@inbox.net,Win Cash,Claim your free gift with every purchase while stocks last.,Spam
39138,personal39138@mail.com,Project Update,Thank you for your support and assistance.,Ham
9755,lottery9755@support.io,Reward Waiting,Your lucky ticket has been chosen for a cash reward.,Spam
40167,finance40167@mail.com,Course Information,Please review the attached invoice for processing.,Ham
8876,cryptoscam8876@inbox.net,Win Cash,Limited crypto investment slots available today.,Spam
7118,phishing7118@support.io,Claim Prize,A security review requires immediate confirmation of your identity.,Spam
27499,support27499@support.io,Project Update,We have resolved the issue reported in your request.,Ham
42408,personal42408@company.org,Meeting Reminder,Hope you are doing well and having a great week.,Ham
8136,shoppingoffers8136@mail.com,Investment Opportunity,Exclusive discount available on premium products today.,Spam
17546,fakejobs17546@inbox.net,Claim Prize,Start your dream job from home and get paid weekly.,Spam
25882,office25882@service.co,Meeting Reminder,The team meeting agenda has been shared for discussion.,Ham
26613,healthcare26613@service.co,Project Update,Reminder for your upcoming health checkup appointment.,Ham
4499,phishing4499@service.co,Urgent Verification,A security review requires immediate confirmation of your identity.,Spam
34151,office34151@support.io,Project Update,Kindly provide your feedback on the latest proposal.,Ham
10432,phishing10432@company.org,Claim Prize,Verify your login information to maintain account access.,Spam
17097,bankingscam17097@inbox.net,Exclusive Offer,Your bank account requires urgent verification to avoid suspension.,Spam
32696,support32696@company.org,Support Update,Your support ticket has been updated by our team.,Ham
7008,lottery7008@mail.com,Investment Opportunity,Congratulations! You have been selected as a lottery winner. Claim your prize today.,Spam
3483,cryptoscam3483@company.org,Reward Waiting,Double your investment with this exclusive crypto opportunity.,Spam
37809,education37809@support.io,Appointment Reminder,The course materials have been uploaded to the portal.,Ham
34123,finance34123@support.io,Project Update,Your monthly account statement is now available.,Ham
28423,education28423@service.co,Appointment Reminder,Please attend the scheduled academic session.,Ham
33376,personal33376@company.org,Project Update,Thank you for your support and assistance.,Ham
4000,fakejobs4000@inbox.net,Urgent Verification,Immediate hiring for online positions with attractive salaries.,Spam
26355,healthcare26355@support.io,Project Update,Please follow the instructions shared by your healthcare provider.,Ham
1121,cryptoscam1121@company.org,Win Cash,Double your investment with this exclusive crypto opportunity.,Spam
48451,personal48451@mail.com,Invoice Notice,Looking forward to catching up with you soon.,Ham
23144,lottery23144@mail.com,Urgent Verification,Your lucky ticket has been chosen for a cash reward.,Spam
13552,shoppingoffers13552@support.io,Win Cash,Claim your free gift with every purchase while stocks last.,Spam
43756,education43756@support.io,Support Update,Your assignment submission deadline is approaching.,Ham
42933,finance42933@company.org,Appointment Reminder,Your monthly account statement is now available.,Ham
41136,education41136@support.io,Meeting Reminder,Please attend the scheduled academic session.,Ham
22332,phishing22332@service.co,Reward Waiting,Verify your login information to maintain account access.,Spam
22166,cryptoscam22166@company.org,Urgent Verification,Double your investment with this exclusive crypto opportunity.,Spam
37675,healthcare37675@support.io,Support Update,Your medical report is ready for review.,Ham
789,fakejobs789@company.org,Investment Opportunity,Immediate hiring for online positions with attractive salaries.,Spam
43506,finance43506@mail.com,Meeting Reminder,Please review the attached invoice for processing.,Ham
45028,personal45028@inbox.net,Support Update,Looking forward to catching up with you soon.,Ham
45772,office45772@mail.com,Project Update,The team meeting agenda has been shared for discussion.,Ham
